fecha_operacion,numero_operacion,tipo_operacion,monto,moneda,cuenta_origen,cuenta_destino,banco_origen,banco_destino,descripcion,estado,canal,content_hash
2025-09-30 05:44:16.043113,OP-00005119,TRANSFERENCIA,16981.59,PEN,770-7749366-2-77,885-5842509-3-81,BCP,BCP,Claro entrada civil españa valores humano.,COMPLETADA,MOBILE,1acbf4f1293ad63e
2025-09-29 10:47:16.043113,OP-00008932,DEPOSITO,31074.33,PEN,908-6132091-7-13,633-8254419-6-66,RIPLEY,SCOTIABANK,López mi hombres pesar padres militar.,PENDIENTE,WEB,41bfeb9e493468dc
2025-09-22 12:33:16.043113,OP-00008516,TRANSFERENCIA,29810.87,PEN,105-6489255-8-67,210-6306584-2-24,FALABELLA,,Quiere tan situación precio momento quién primeros.,COMPLETADA,ATM,e6695021e80507f6
2025-09-09 07:39:16.043113,OP-00007283,TRANSFERENCIA,7816.18,PEN,884-5470364-4-82,,FALABELLA,BANBIF,Autoridades fuentes niños alta.,COMPLETADA,MOBILE,b12011764a1e4c33
2025-10-03 10:02:16.043113,OP-00007624,TRANSFERENCIA,10858.98,PEN,939-2158911-6-23,197-7554262-3-68,CITIBANK,BBVA,Noche ii estaba además cuenta.,COMPLETADA,WEB,e1ce22a6756c8b8c
2025-09-11 16:38:16.043113,OP-00006030,TRANSFERENCIA,6464.74,PEN,732-8248053-1-45,574-2144487-7-65,SCOTIABANK,,Color cosas media.,COMPLETADA,MOBILE,dd20df5f190493c4
2025-10-02 10:35:16.043113,OP-00003330,DEPOSITO,48239.05,USD,640-4090247-4-66,,PICHINCHA,SCOTIABANK,Señora ciento hijos seguro interés he profesional.,COMPLETADA,WEB,e6f0f3b5f78fcf5a
2025-09-26 14:59:16.043113,OP-00008935,DEPOSITO,8864.55,PEN,207-9817044-2-92,552-7202880-8-86,PICHINCHA,BN,Rodríguez reunión largo mayor mañana silencio eso pudo.,FALLIDA,MOBILE,2413ec8ed47cea29
2025-09-06 07:20:16.043113,OP-00003880,TRANSFERENCIA,5848.2,PEN,785-8661420-1-55,510-6400577-0-27,INTERBANK,PICHINCHA,Central noche estados segundo.,COMPLETADA,MOBILE,d79e66a00d41d92d
2025-09-24 10:55:16.043113,OP-00003782,TRANSFERENCIA,6471.0,PEN,369-2427115-3-37,,BBVA,SCOTIABANK,Vio máximo carrera u operación ii nadie.,COMPLETADA,WEB,df9376844a8ad62c
2025-09-15 10:51:16.043113,OP-00001670,DEPOSITO,14002.88,PEN,230-5755856-2-33,469-8497236-1-17,BCP,BCP,Cuerpo trabajo alta soy participación sol lado materia.,COMPLETADA,SUCURSAL,6397e0451927c1b3
